base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
BO,0.0,16.849585,19.450691,19.450521,18.889225,20.522348,10.279932,19.711033,19.450705,19.450535,19.450678,19.450678,-1.0,-14.2218690990991,-0.5662912483912483,-11.123229703989704,-0.499338712998713,-10.985523732303731,-0.49934308880308886,-10.322309472329476,-0.5137908622908623,-10.539387284427285,-0.47175423423423424,-10.26566684684685,-0.7353942857142857,-10.547070707850706,-0.4926375032175032,-10.19906187902188,-0.4993383526383527,-9.06245395109395,-0.4993427284427285,-9.062567619047622,-0.4993390476190476,-9.759919253539254,-0.4993390476190476,-9.759919253539254
BS,18.177608,18.177252,18.88924,18.889067,18.88924,18.889067,19.450705,19.450535,19.450695,19.450525,19.450695,19.450695,-0.5321079021879023,-14.753977001287003,-0.5321170656370656,-11.65534676962677,-0.5137904761904761,-11.499314208494207,-0.5137949292149292,-10.836104401544405,-0.5137904761904761,-11.05317776061776,-0.5137949292149292,-10.77946177606178,-0.4993383526383527,-11.046409060489058,-0.4993427284427285,-10.698404607464608,-0.4993386100386101,-9.56179256113256,-0.49934298584298586,-9.561910604890608,-0.4993386100386101,-10.259257863577863,-0.4993386100386101,-10.259257863577863
BY,18.142288,18.141935,19.450705,19.450535,19.450682,19.450512,19.450695,19.711037,19.450705,19.450535,19.450705,19.450705,-0.5330170398970399,-15.286994041184043,-0.5330261261261261,-12.188372895752895,-0.4993383526383527,-11.998652561132559,-0.4993427284427285,-11.335447129987134,-0.4993389446589447,-11.552516705276705,-0.4993433204633205,-11.278805096525101,-0.4993386100386101,-11.545747670527668,-0.49263740025740027,-11.19104200772201,-0.4993383526383527,-10.061130913770912,-0.4993427284427285,-10.061253333333337,-0.4993383526383527,-10.758596216216215,-0.4993383526383527,-10.758596216216215
CA,8.929742,13.775755,10.240947,14.637089,18.88924,18.889067,19.450705,19.711037,19.450705,19.450535,19.450695,19.450695,-0.7701482110682112,-16.057142252252255,-0.6454117117117117,-12.833784607464606,-0.7363977606177606,-12.73505032175032,-0.6232409523809525,-11.958688082368086,-0.5137904761904761,-12.066307181467181,-0.5137949292149292,-11.79260002574003,-0.4993383526383527,-12.04508602316602,-0.49263740025740027,-11.68367940797941,-0.4993383526383527,-10.560469266409264,-0.4993427284427285,-10.560596061776065,-0.4993386100386101,-11.257934826254825,-0.4993386100386101,-11.257934826254825
AG,0.0,19.792385,0.0,19.662891,10.178493,14.421934,18.687649,19.66287,10.178493,14.421933,18.687649,18.687649,-1.0,-17.057142252252255,-0.49054350064350066,-13.324328108108107,-1.0,-13.73505032175032,-0.4938766795366796,-12.452564761904766,-0.7380053281853282,-12.80431250965251,-0.6287790476190476,-12.421379073359079,-0.5189794337194338,-12.564065456885453,-0.49387722007722007,-12.17755662805663,-0.7380053281853282,-11.298474594594593,-0.6287790733590733,-11.189375135135139,-0.5189794337194338,-11.776914259974259,-0.5189794337194338,-11.776914259974259
CB,8.841551,12.363627,10.140782,13.815408,18.687649,18.687492,18.687645,18.687489,18.687649,18.687492,18.68764,18.68764,-0.7724182496782496,-17.829560501930505,-0.6817599227799228,-14.00608803088803,-0.7389760102960102,-14.47402633204633,-0.6443910424710425,-13.096955804375808,-0.5189794337194338,-13.323291943371943,-0.518983474903475,-12.940362548262554,-0.5189795366795367,-13.08304499356499,-0.5189835521235522,-12.696540180180182,-0.5189794337194338,-11.817454028314026,-0.518983474903475,-11.708358610038614,-0.5189796653796654,-12.295893925353925,-0.5189796653796654,-12.295893925353925
AI,0.0,13.145424,0.0,14.378259,10.077799,14.378276,18.01908,18.018913,10.077799,13.61274,10.077799,10.077799,-1.0,-18.829560501930505,-0.6616364478764479,-14.667724478764478,-1.0,-15.47402633204633,-0.6299032432432432,-13.726859047619051,-0.7405971943371944,-14.063889137709138,-0.6299028056628057,-13.57026535392536,-0.536188416988417,-13.619233410553406,-0.5361927155727155,-13.232732895752898,-0.7405971943371944,-12.55805122265122,-0.649607722007722,-12.357966332046336,-0.7405971943371944,-13.036491119691119,-0.7405971943371944,-13.036491119691119
AQ,18.01908,18.018747,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.01908,-0.536188416988417,-19.36574891891892,-0.5361969884169884,-15.203921467181466,-0.536188416988417,-16.01021474903475,-0.5361927155727155,-14.263051763191767,-0.536188416988417,-14.600077554697554,-0.5361927155727155,-14.106458069498075,-0.536188416988417,-14.155421827541822,-0.5361927155727155,-13.768925611325614,-0.536188416988417,-13.094239639639637,-0.5361927155727155,-12.894159047619052,-0.536188416988417,-13.572679536679535,-0.536188416988417,-13.572679536679535
BC,18.01908,18.018747,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.01908,-0.536188416988417,-19.901937335907338,-0.5361969884169884,-15.740118455598454,-0.536188416988417,-16.546403166023165,-0.5361927155727155,-14.799244478764482,-0.536188416988417,-15.13626597168597,-0.5361927155727155,-14.64265078507079,-0.536188416988417,-14.691610244530239,-0.5361927155727155,-14.305118326898329,-0.536188416988417,-13.630428056628054,-0.5361927155727155,-13.430351763191767,-0.536188416988417,-14.108867953667952,-0.536188416988417,-14.108867953667952
BG,8.768687,13.1242895,9.625776,13.7671,10.077799,13.612742,10.077799,13.612735,18.01908,18.018913,10.077765,10.077765,-0.7742937709137709,-20.67623110682111,-0.6621804504504505,-16.402298906048905,-0.752232277992278,-17.298635444015442,-0.6456344916344917,-15.444878970398975,-0.7405971943371944,-15.876863166023165,-0.6496076705276705,-15.29225845559846,-0.7405971943371944,-15.432207438867433,-0.6496078507078507,-14.95472617760618,-0.536188416988417,-14.16661647361647,-0.5361927155727155,-13.966544478764483,-0.7405980694980695,-14.849466023166022,-0.7405980694980695,-14.849466023166022
BQ,0.0,15.975379,18.01908,18.018913,0.0,13.7670965,9.589119,14.378252,18.01908,18.018913,18.01908,18.01908,-1.0,-21.67623110682111,-0.5887933333333334,-16.99109223938224,-0.536188416988417,-17.83482386100386,-0.5361927155727155,-15.98107168597169,-1.0,-16.876863166023163,-0.6456345817245817,-15.937893037323043,-0.7531758301158301,-16.185383268983262,-0.6299034234234234,-15.584629601029603,-0.536188416988417,-14.702804890604886,-0.5361927155727155,-14.502737194337199,-0.536188416988417,-15.385654440154438,-0.536188416988417,-15.385654440154438
BT,18.01908,18.018747,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.01908,-0.536188416988417,-22.212419523809526,-0.5361969884169884,-17.52728922779923,-0.536188416988417,-18.371012277992275,-0.5361927155727155,-16.517264401544406,-0.536188416988417,-17.41305158301158,-0.5361927155727155,-16.47408575289576,-0.536188416988417,-16.72157168597168,-0.5361927155727155,-16.120822316602318,-0.536188416988417,-15.238993307593303,-0.5361927155727155,-15.038929909909914,-0.536188416988417,-15.921842857142854,-0.536188416988417,-15.921842857142854
BV,8.79814,8.797794,9.589119,9.588946,10.077766,13.612738,18.01908,18.018913,10.077799,13.61274,10.077799,10.077799,-0.7735356499356499,-22.985955173745175,-0.773544555984556,-18.300833783783787,-0.7531758301158301,-19.124188108108104,-0.7531802831402832,-17.27044468468469,-0.7405980437580437,-18.153649626769624,-0.6496077734877735,-17.123693526383533,-0.536188416988417,-17.257760102960095,-0.5361927155727155,-16.657015032175032,-0.7405971943371944,-15.979590501930497,-0.649607722007722,-15.688537631917637,-0.7405971943371944,-16.662440051480047,-0.7405971943371944,-16.662440051480047
BU,8.754723,8.754373,9.124047,9.123883,9.527533,9.52736,9.976033,12.942513,9.527546,9.527373,9.976033,9.976033,-0.7746532046332046,-23.76060837837838,-0.7746622136422137,-19.075495997426,-0.7651467953667954,-19.8893349034749,-0.7651510167310167,-18.03559570141571,-0.7547610553410554,-18.90841068211068,-0.7547655083655084,-17.878459034749042,-0.7432166537966538,-18.00097675675675,-0.6668593822393823,-17.323874414414416,-0.7547607207207208,-16.734351222651217,-0.7547651737451737,-16.44330280566281,-0.7432166537966538,-17.4056567052767,-0.7432166537966538,-17.4056567052767
AJ,0.0,8.377102,0.0,8.491897,9.429513,9.429337,9.429513,12.897061,9.4295025,9.429327,9.429499,9.429499,-1.0,-24.76060837837838,-0.7843731788931789,-19.85986917631918,-1.0,-20.8893349034749,-0.7814183526383526,-18.81701405405406,-0.7572840926640927,-19.665694774774774,-0.7572886229086229,-18.635747657657664,-0.7572840926640927,-18.758260849420843,-0.6680293178893179,-17.991903732303733,-0.757284362934363,-17.49163558558558,-0.7572888803088803,-17.20059168597169,-0.757284453024453,-18.162941158301155,-0.757284453024453,-18.162941158301155
AS,8.660828,8.660484,9.42949,9.429314,9.42949,9.429314,9.429513,9.429337,9.4295025,9.429327,9.429499,9.429499,-0.7770700643500643,-25.537678442728442,-0.7770789189189189,-20.636948095238097,-0.7572846846846847,-21.646619588159584,-0.757289214929215,-19.574303268983275,-0.7572846846846847,-20.42297945945946,-0.757289214929215,-19.39303687258688,-0.7572840926640927,-19.515544942084937,-0.7572886229086229,-18.749192355212354,-0.757284362934363,-18.248919948519944,-0.7572888803088803,-17.957880566280572,-0.757284453024453,-18.92022561132561,-0.757284453024453,-18.92022561132561
