it,base_code,SP,TCT,ST,DG,KV,KH
Z_AL_0,AL,0.0,0.0,9.48678428633222,9.48678428633222,22.030654073188984,22.030654073188984
Z_AL_1,AL,0.0,0.0,22.030654073188984,0.0,22.030654073188984,22.030654073188984
Z_AL_2,AL,0.0,0.0,9.48678428633222,22.030654073188984,22.030654073188984,22.030654073188984
Z_AL_3,AL,0.0,0.0,22.030654073188984,33.291476125918315,22.030654073188984,22.030654073188984
Z_AM_0,AM,11.5794,9.48678428633222,9.48678428633222,9.48678428633222,33.291476125918315,33.291476125918315
Z_AM_1,AM,11.5794,9.48678428633222,22.030654073188984,22.030654073188984,33.291476125918315,33.291476125918315
Z_AM_2,AM,11.5794,9.48678428633222,9.48678428633222,22.030654073188984,33.291476125918315,33.291476125918315
Z_AM_3,AM,11.5794,9.48678428633222,22.030654073188984,22.030654073188984,33.291476125918315,33.291476125918315
Z_AN_0,AN,0.0,0.0,8.318298059722373,8.318298059722373,20.96839386718004,20.96839386718004
Z_AN_1,AN,0.0,0.0,20.96839386718004,0.0,20.96839386718004,20.96839386718004
Z_AN_2,AN,0.0,0.0,0.0,8.318298059722373,20.96839386718004,20.96839386718004
Z_AN_3,AN,0.0,0.0,20.96839386718004,20.96839386718004,20.96839386718004,20.96839386718004
Z_AO_0,AO,0.0,0.0,0.0,6.934558869683162,19.710449148962567,19.710449148962567
Z_AO_1,AO,0.0,0.0,6.934558869683162,0.0,19.710449148962567,19.710449148962567
Z_AO_2,AO,0.0,0.0,0.0,0.0,19.710449148962567,19.710449148962567
Z_AO_3,AO,0.0,0.0,6.934558869683162,6.934558869683162,19.710449148962567,19.710449148962567
Z_AP_0,AP,34.7382,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_AP_1,AP,34.7382,48.749166908295656,39.654655999204735,48.749166908295656,48.749166908295656,48.749166908295656
Z_AP_2,AP,34.7382,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_AP_3,AP,34.7382,48.749166908295656,48.749166908295656,39.654655999204735,48.749166908295656,48.749166908295656
Z_AQ_0,AQ,23.1588,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_AQ_1,AQ,23.1588,47.76343137110557,38.57034690829565,47.76343137110557,47.76343137110557,47.76343137110557
Z_AQ_2,AQ,23.1588,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_AQ_3,AQ,23.1588,47.76343137110557,38.57034690829565,38.57034690829565,47.76343137110557,47.76343137110557
Z_AR_0,AR,11.5794,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822
Z_AR_1,AR,11.5794,46.86730815547822,37.58461137110556,46.86730815547822,46.86730815547822,46.86730815547822
Z_AR_2,AR,11.5794,46.86730815547822,37.58461137110556,46.86730815547822,46.86730815547822,46.86730815547822
Z_AR_3,AR,11.5794,46.86730815547822,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822
Z_AS_0,AS,0.0,46.05265068672608,36.68848815547822,36.68848815547822,46.05265068672608,46.05265068672608
Z_AS_1,AS,0.0,46.05265068672608,36.68848815547822,36.68848815547822,46.05265068672608,46.05265068672608
Z_AT_0,AT,23.1588,24.0565866213254,35.13323298786051,24.0565866213254,35.13323298786051,35.13323298786051
Z_AT_1,AT,23.1588,24.0565866213254,24.0565866213254,35.13323298786051,35.13323298786051,35.13323298786051
Z_AT_2,AT,23.1588,24.0565866213254,35.13323298786051,24.0565866213254,35.13323298786051,35.13323298786051
Z_AT_3,AT,23.1588,24.0565866213254,24.0565866213254,24.0565866213254,35.13323298786051,35.13323298786051
Z_AU_0,AU,11.5794,22.030654073188984,33.291476125918315,22.030654073188984,33.291476125918315,33.291476125918315
Z_AU_1,AU,11.5794,22.030654073188984,9.48678428633222,22.030654073188984,33.291476125918315,33.291476125918315
Z_AU_2,AU,11.5794,22.030654073188984,33.291476125918315,22.030654073188984,33.291476125918315,33.291476125918315
Z_AU_3,AU,11.5794,22.030654073188984,9.48678428633222,9.48678428633222,33.291476125918315,33.291476125918315
Z_AV_0,AV,0.0,20.508540964145855,7.812459866384772,7.812459866384772,20.508540964145855,20.508540964145855
Z_AV_1,AV,0.0,20.508540964145855,0.0,7.812459866384772,20.508540964145855,20.508540964145855
Z_AW_0,AW,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_AX_0,AX,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_AY_0,AY,0.0,0.0,0.0,0.0,0.0,0.0
Z_AZ_0,AZ,0.0,0.0,0.0,0.0,6.55451514816731,6.55451514816731
Z_BA_0,BA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_BA_1,BA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_BA_2,BA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_BA_3,BA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_BB_0,BB,34.7382,39.654655999204735,39.654655999204735,39.654655999204735,48.749166908295656,48.749166908295656
Z_BB_1,BB,46.3176,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_BB_2,BB,34.7382,39.654655999204735,48.749166908295656,39.654655999204735,48.749166908295656,48.749166908295656
Z_BB_3,BB,46.3176,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_BC_0,BC,23.1588,27.837411933804056,38.57034690829565,38.57034690829565,47.76343137110557,47.76343137110557
Z_BC_1,BC,46.3176,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_BC_2,BC,23.1588,27.837411933804056,38.57034690829565,27.837411933804056,47.76343137110557,47.76343137110557
Z_BC_3,BC,46.3176,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_BD_0,BD,11.5794,14.681477933008797,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822
Z_BD_1,BD,46.3176,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822
Z_BD_2,BD,11.5794,14.681477933008797,37.58461137110556,26.753102842894965,46.86730815547822,46.86730815547822
Z_BD_3,BD,46.3176,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822
Z_BE_0,BE,0.0,0.39369771913960755,36.68848815547822,25.767367305704884,46.05265068672608,46.05265068672608
Z_BE_1,BE,46.3176,46.05265068672608,46.05265068672608,46.05265068672608,46.05265068672608,46.05265068672608
Z_BF_0,BF,46.3176,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_BF_1,BF,23.1588,27.837411933804056,38.57034690829565,27.837411933804056,47.76343137110557,47.76343137110557
Z_BF_2,BF,46.3176,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_BF_3,BF,23.1588,27.837411933804056,38.57034690829565,47.76343137110557,47.76343137110557,47.76343137110557
Z_BG_0,BG,34.7382,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609
Z_BG_1,BG,23.1588,24.87124409007753,24.87124409007753,24.87124409007753,35.87383068672609,35.87383068672609
Z_BG_2,BG,34.7382,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609,35.87383068672609
Z_BG_3,BG,23.1588,24.87124409007753,24.87124409007753,24.87124409007753,35.87383068672609,35.87383068672609
Z_BH_0,BH,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_BH_1,BH,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_BH_2,BH,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_BH_3,BH,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_BI_0,BI,11.5794,8.318298059722373,8.318298059722373,20.96839386718004,20.96839386718004,20.96839386718004
Z_BI_1,BI,23.1588,20.96839386718004,20.96839386718004,20.96839386718004,20.96839386718004,20.96839386718004
Z_BI_2,BI,11.5794,8.318298059722373,8.318298059722373,8.318298059722373,20.96839386718004,20.96839386718004
Z_BI_3,BI,23.1588,20.96839386718004,20.96839386718004,20.96839386718004,20.96839386718004,20.96839386718004
Z_BJ_0,BJ,0.0,0.0,0.0,6.934558869683162,19.710449148962567,19.710449148962567
Z_BJ_1,BJ,23.1588,19.710449148962567,19.710449148962567,19.710449148962567,19.710449148962567,19.710449148962567
Z_BK_0,BK,34.7382,37.58461137110556,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822
Z_BK_1,BK,23.1588,26.753102842894965,37.58461137110556,26.753102842894965,46.86730815547822,46.86730815547822
Z_BK_2,BK,34.7382,37.58461137110556,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822
Z_BK_3,BK,23.1588,26.753102842894965,37.58461137110556,46.86730815547822,46.86730815547822,46.86730815547822
