it,base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D
Z_CE_2,CE,22.579634,26.487179,25.018911,25.307951,25.01896,25.166264,25.797604,28.232918,34.932438,34.93217,34.932438,34.93217
Z_CE_3,CE,0.79194665,26.67989,1.2692095,28.776262,25.018911,25.16629,25.797457,28.23293,34.932446,34.932182,34.932446,34.932167
Z_CF_0,CF,10.8994,25.708143,12.2252655,25.191818,12.760048,20.563534,12.800208,27.20403,25.381016,26.435911,25.381016,26.435934
Z_CF_1,CF,0.7286318,26.614664,1.2507912,27.501593,24.61452,24.614246,12.800208,27.20403,25.381016,26.435911,25.381016,26.435934
Z_CF_2,CF,10.8994,25.708143,12.2252655,25.191818,12.760048,20.563534,12.800208,27.20403,25.381016,26.435911,25.381016,26.435934
Z_CF_3,CF,0.7286496,26.614693,1.2508106,27.501627,24.614473,24.6142,24.614433,24.614159,25.381016,26.435911,25.381016,26.435934
Z_CG_0,CG,0.26888418,25.167746,0.36075997,25.109764,12.107411,19.476519,1.2285764,19.670193,23.597265,23.59699,23.597265,23.59699
Z_CG_1,CG,0.6908156,26.573017,1.2324711,26.377625,12.642347,19.508806,1.2324711,26.323042,23.597261,23.596987,23.597261,23.59698
Z_CG_2,CG,0.26888418,25.167746,0.36075997,25.109764,1.2247059,18.971994,1.2324711,26.323042,23.597292,23.597017,23.597292,23.596996
Z_CG_3,CG,0.6908311,26.573046,1.2324895,26.377674,12.64242,19.50869,23.597265,23.59699,23.597296,23.597021,23.597296,23.597008
Z_CH_0,CH,22.579634,26.487179,25.018911,25.307951,25.01896,25.166264,25.797604,28.232918,34.932438,34.93217,34.932438,34.93217
Z_CH_1,CH,0.79192346,26.679873,1.2691808,28.776236,25.79749,28.232935,24.941319,24.941044,34.932446,34.932182,34.932446,34.932167
Z_CH_2,CH,22.579634,26.487179,25.018911,25.307951,25.797602,28.232903,25.797602,28.232893,34.932415,34.93215,34.932415,34.932182
Z_CH_3,CH,0.7919309,26.679886,1.2691901,28.776274,25.018848,25.166317,12.90295,28.462643,34.93244,34.93218,34.93244,34.93215
Z_CI_0,CI,0.43812245,25.684574,1.2237349,25.14845,12.701644,19.715275,12.701715,19.715223,24.413544,24.41326,24.413544,24.413292
Z_CI_1,CI,0.7096965,26.593851,1.242643,27.215109,24.413597,24.413313,24.413597,24.413313,24.413624,24.41334,24.413624,24.413319
Z_CI_2,CI,0.43811673,25.684568,1.2237169,25.14845,12.7017145,19.715153,12.739643,26.367228,24.413544,24.41326,24.413544,24.41334
Z_CI_3,CI,0.7097028,26.59387,1.242652,27.21516,24.413544,24.41326,12.73947,26.367277,24.413624,24.41334,24.413624,24.413313
Z_CJ_0,CJ,34.176155,34.17559,34.932438,34.93188,34.932438,34.93217,34.932438,34.93217,34.932446,34.932182,34.932446,34.93215
Z_CJ_1,CJ,0.54626197,32.039207,1.2479957,31.57798,12.903052,28.462656,12.850837,21.170929,34.932415,34.93215,34.932415,34.93217
Z_CJ_2,CJ,34.176155,34.17559,34.932438,34.93188,34.93244,34.93218,34.93244,34.93218,34.93244,34.93218,34.93244,34.932167
Z_CJ_3,CJ,0.5462838,32.039257,1.248016,31.578035,24.941326,24.94105,12.91858,29.318342,34.932438,34.93217,34.932438,34.932182
Z_CK_0,CK,22.30498,22.304455,22.878767,22.8782,22.878775,22.878506,22.878775,22.878506,22.87876,22.878492,22.87876,22.878506
Z_CK_1,CK,0.15584491,18.74293,0.34946173,18.437866,1.2037076,19.431602,11.560011,12.045333,22.87876,22.878492,22.87876,22.878506
Z_CK_2,CK,22.30498,22.304455,22.878767,22.8782,22.878775,22.878506,22.878775,22.878506,22.87876,22.878492,22.87876,22.878506
Z_CK_3,CK,0.1558618,18.74296,0.34948346,18.437895,1.2146938,18.773794,1.1998947,14.618019,22.87876,22.878492,22.87876,22.878506
Z_CL_0,CL,10.4998255,10.499285,10.838522,10.837965,10.838528,10.838266,10.838528,10.838266,10.838528,10.838266,10.838528,10.838252
Z_CL_1,CL,0.03432578,5.5813274,0.10101745,5.4316106,0.331484,7.7928634,10.8385315,10.838269,10.838522,10.838261,10.838522,10.838269
Z_CL_2,CL,10.4998255,10.499285,10.838522,10.837965,10.838522,10.838261,10.838522,10.838261,10.8385315,10.838269,10.8385315,10.83824
Z_CL_3,CL,0.034332816,5.5813327,0.101031214,5.4316163,0.33486563,12.14362,0.103341095,7.9439178,10.838501,10.83824,10.838501,10.838261
Z_CM_0,CM,11.067199,32.062813,35.21796,35.21739,12.909136,27.27577,25.068453,25.068176,35.864563,35.864296,35.864563,35.864285
Z_CM_1,CM,11.067199,32.062813,35.21796,35.21739,25.92338,28.53222,35.864502,35.864235,35.864517,35.864246,35.864517,35.864235
Z_CN_0,CN,0.076385535,14.697034,1.1771961,17.218681,1.1664815,12.834752,11.763683,12.233382,11.763659,12.233397,11.763659,12.233382
Z_CN_1,CN,0.076385535,14.697034,1.1771961,17.218681,0.3399495,11.652719,0.34469044,13.5774555,11.763575,12.233434,11.763575,12.233431
Z_CO_0,CO,11.341563,33.699654,37.228737,37.22814,13.052528,31.563234,26.262934,30.011677,36.458572,36.458298,36.458572,36.45829
Z_CO_1,CO,11.341563,33.699654,37.228737,37.22814,37.22868,37.2284,38.192165,38.191895,36.45852,36.458244,36.45852,36.458233
Z_CP_0,CP,0.60593086,20.44611,24.813217,24.812624,1.2570515,26.032425,12.859942,28.15996,24.81324,24.812963,24.81324,24.812986
Z_CP_1,CP,0.60593086,20.44611,24.813217,24.812624,25.582937,27.271664,24.813175,24.812897,24.813156,24.812878,24.813156,24.812891
Z_CQ_0,CQ,0.2582599,19.90562,24.413605,24.41302,1.221704,20.752516,12.701715,19.715223,24.413624,24.41334,24.413624,24.413363
Z_CQ_1,CQ,0.2582599,19.90562,24.413605,24.41302,23.795362,23.795101,12.701591,19.715199,24.413544,24.41326,24.413544,24.413273
Z_CR_0,CR,0.10967785,11.409042,11.859192,12.945293,0.34833017,13.777448,1.1908598,17.83267,12.349414,17.229618,12.349414,17.229645
Z_CR_1,CR,0.10967785,11.409042,11.859192,12.945293,12.349481,17.229599,12.349365,17.229635,12.349414,17.229618,12.349414,17.229645
Z_CS_0,CS,0.2054458,18.839828,12.047408,18.745554,1.2037164,19.431559,1.2146755,18.773727,12.543328,18.620283,12.543328,18.620304
Z_CS_1,CS,0.2054458,18.839828,12.047408,18.745554,12.543398,18.620235,22.878777,22.87851,12.543327,18.620228,12.543327,18.620262
Z_CT_0,CT,34.470863,34.470325,37.842815,37.842224,37.842815,37.842564,37.842815,37.842564,46.97236,46.97209,46.97236,46.972084
Z_CT_1,CT,34.470863,34.470325,37.842815,37.842224,38.81913,38.81885,38.819134,38.818855,46.972336,46.972065,46.972336,46.972076
Z_CT_2,CT,34.47083,34.470287,37.842705,37.842117,38.819233,38.818954,38.81909,38.818813,46.97236,46.97209,46.97236,46.97209
Z_CT_3,CT,34.47083,34.470287,37.842705,37.842117,37.842705,37.842453,37.842705,37.842453,46.972355,46.972084,46.972355,46.972065
Z_CU_0,CU,34.371986,34.371433,36.458572,36.45799,36.458572,36.458298,36.458572,36.458298,38.19219,38.19192,38.19219,38.192017
Z_CU_1,CU,22.765085,32.746258,25.396181,31.733229,26.262815,30.011698,36.458572,36.458298,38.19215,38.19188,38.19215,38.19192
Z_CU_2,CU,34.371964,34.37141,36.458508,36.45792,37.228737,37.22846,37.22868,37.2284,38.192287,38.192017,38.192287,38.19196
Z_CU_3,CU,22.765034,32.746292,25.396067,31.733282,26.262768,30.011673,26.262768,30.011673,38.192165,38.191895,38.192165,38.19188
Z_CV_0,CV,34.26687,34.266308,35.217968,35.217396,35.217968,35.2177,35.864563,35.864296,35.86454,35.864273,35.86454,35.864285
Z_CV_1,CV,11.067232,32.062786,12.355413,31.62409,25.14241,26.139734,25.068453,25.068176,35.864502,35.864235,35.864502,35.864235
Z_CV_2,CV,34.26686,34.266296,35.217937,35.217365,35.864532,35.86426,35.864502,35.864235,35.864536,35.86427,35.864536,35.864285
Z_CV_3,CV,11.067165,32.06283,12.355292,31.624151,12.949281,28.764034,12.96425,29.636623,35.864532,35.86426,35.864532,35.864235
Z_CW_0,CW,34.09169,34.091187,34.09169,34.091187,34.09169,34.091427,34.09169,34.091427,34.09169,34.091427,34.09169,34.091427
