base_code,SP,TCT,ST,DG,KV,KH,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KH,cumulative_frac_diff_KH
AR,9.26352,9.164437956992924,13.626760357390351,13.626760357390351,18.328875913985847,18.328875913985847,-0.7496345945945946,-11.861662702702704,-0.75231248764884,-9.128060948686034,-0.6317091795299905,-8.82692560431863,-0.6317091795299905,-7.899718174087627,-0.5046249752976798,-6.255117313833599,-0.5046249752976798,-7.218408132726123
BB,13.89528,13.626760357390351,13.626760357390351,13.626760357390351,18.328875913985847,18.328875913985847,-0.6244518918918919,-12.486114594594596,-0.6317091795299905,-9.759770128216024,-0.6317091795299905,-9.45863478384862,-0.6317091795299905,-8.531427353617618,-0.5046249752976798,-6.759742289131279,-0.5046249752976798,-7.723033108023802
BD,9.26352,9.164437956992924,13.626760357390351,18.328875913985847,18.328875913985847,18.328875913985847,-0.7496345945945946,-13.23574918918919,-0.75231248764884,-10.512082615864864,-0.6317091795299905,-10.09034396337861,-0.5046249752976798,-9.036052328915298,-0.5046249752976798,-7.264367264428959,-0.5046249752976798,-8.227658083321483
BH,4.63176,4.462322400397428,13.626760357390351,18.328875913985847,13.626760357390351,18.328875913985847,-0.8748172972972973,-14.110566486486489,-0.8793966918811507,-11.391479307746016,-0.6317091795299905,-10.7220531429086,-0.5046249752976798,-9.540677304212979,-0.6317091795299905,-7.8960764439589495,-0.5046249752976798,-8.732283058619164
BM,9.26352,13.626760357390351,9.164437956992924,9.164437956992924,18.328875913985847,18.328875913985847,-0.7496345945945946,-14.860201081081083,-0.6317091795299905,-12.023188487276006,-0.75231248764884,-11.47436563055744,-0.75231248764884,-10.29298979186182,-0.5046249752976798,-8.40070141925663,-0.5046249752976798,-9.236908033916844
BO,0.0,18.328875913985847,9.164437956992924,8.924644800794855,18.328875913985847,18.328875913985847,-1.0,-15.860201081081083,-0.5046249752976798,-12.527813462573686,-0.75231248764884,-12.22667811820628,-0.7587933837623012,-11.05178317562412,-0.5046249752976798,-8.90532639455431,-0.5046249752976798,-9.741533009214525
BS,13.89528,13.626760357390351,13.626760357390351,18.328875913985847,18.328875913985847,18.328875913985847,-0.6244518918918919,-16.484652972972974,-0.6317091795299905,-13.159522642103676,-0.6317091795299905,-12.85838729773627,-0.5046249752976798,-11.5564081509218,-0.5046249752976798,-9.40995136985199,-0.5046249752976798,-10.246157984512205
BY,9.26352,9.164437956992924,9.164437956992924,13.626760357390351,18.328875913985847,18.328875913985847,-0.7496345945945946,-17.23428756756757,-0.75231248764884,-13.911835129752516,-0.75231248764884,-13.61069978538511,-0.6317091795299905,-12.18811733045179,-0.5046249752976798,-9.914576345149671,-0.5046249752976798,-10.750782959809886
CA,9.26352,8.924644800794855,13.626760357390351,13.626760357390351,18.328875913985847,13.626760357390351,-0.7496345945945946,-17.983922162162166,-0.7587933837623012,-14.670628513514817,-0.6317091795299905,-14.2424089649151,-0.6317091795299905,-12.81982650998178,-0.5046249752976798,-10.419201320447351,-0.6317091795299905,-11.382492139339876
AG,0.0,0.0,8.243739124953045,12.97680493954135,8.243739124953045,17.709870754129653,-1.0,-18.983922162162166,-1.0,-15.670628513514817,-0.777196239866134,-15.019605204781234,-0.6492755421745582,-13.46910205215634,-0.777196239866134,-11.196397560313486,-0.5213548444829823,-11.903846983822858
CB,9.26352,8.243739124953045,12.97680493954135,12.97680493954135,17.709870754129653,12.97680493954135,-0.7496345945945946,-19.733556756756762,-0.777196239866134,-16.44782475338095,-0.6492755421745582,-15.668880746955793,-0.6492755421745582,-14.118377594330898,-0.5213548444829823,-11.717752404796467,-0.6492755421745582,-12.553122525997416
AI,0.0,0.0,3.8123669825484234,7.624733965096847,7.624733965096847,7.624733965096847,-1.0,-20.733556756756762,-1.0,-17.44782475338095,-0.8969630545257182,-16.56584380148151,-0.7939261090514366,-14.912303703382335,-0.7939261090514366,-12.511678513847905,-0.7939261090514366,-13.347048635048854
AQ,9.26352,8.573569395312012,8.573569395312012,12.385936377860435,17.147138790624023,17.147138790624023,-0.7496345945945946,-21.48319135135136,-0.7682819082348105,-18.21610666161576,-0.7682819082348105,-17.33412570971632,-0.6652449627605288,-15.577548666142864,-0.536563816469621,-13.048242330317526,-0.536563816469621,-13.883612451518475
BC,9.26352,8.573569395312012,8.573569395312012,8.573569395312012,17.147138790624023,17.147138790624023,-0.7496345945945946,-22.232825945945955,-0.7682819082348105,-18.984388569850573,-0.7682819082348105,-18.102407617951133,-0.7682819082348105,-16.345830574377676,-0.536563816469621,-13.584806146787148,-0.536563816469621,-14.420176267988097
BG,4.63176,3.8123669825484234,7.624733965096847,7.624733965096847,12.385936377860435,7.624733965096847,-0.8748172972972973,-23.107643243243253,-0.8969630545257182,-19.88135162437629,-0.7939261090514366,-18.89633372700257,-0.7939261090514366,-17.139756683429113,-0.6652449627605288,-14.250051109547677,-0.7939261090514366,-15.214102377039534
BQ,0.0,17.147138790624023,0.0,3.8123669825484234,17.147138790624023,17.147138790624023,-1.0,-24.107643243243253,-0.536563816469621,-20.41791544084591,-1.0,-19.89633372700257,-0.8969630545257182,-18.03671973795483,-0.536563816469621,-14.786614926017299,-0.536563816469621,-15.750666193509156
BT,9.26352,8.573569395312012,8.573569395312012,12.385936377860435,17.147138790624023,17.147138790624023,-0.7496345945945946,-24.85727783783785,-0.7682819082348105,-21.18619734908072,-0.7682819082348105,-20.664615635237382,-0.6652449627605288,-18.701964700715358,-0.536563816469621,-15.32317874248692,-0.536563816469621,-16.287230009978778
BV,9.26352,7.624733965096847,7.624733965096847,7.624733965096847,7.624733965096847,7.624733965096847,-0.7496345945945946,-25.606912432432445,-0.7939261090514366,-21.98012345813216,-0.7939261090514366,-21.45854174428882,-0.7939261090514366,-19.495890809766795,-0.7939261090514366,-16.117104851538357,-0.7939261090514366,-17.081156119030215
